KBA_250,KBA_Pg,KBA_Py
Danau,5,5
Danau pegunungan,5,5
Dataran fluvial bermaterial aluvium,4,4
Dataran fluvial berombak-bergelombang bermaterial aluvium,4,4
Dataran fluviomarin bermaterial aluvium,4,3
Dataran fluviovulkanik bermaterial aluvium,4,4
Dataran lakustrin bermaterial aluvium,4,4
Dataran marin bermaterial batuan sedimen karbonat,3,2
Dataran marin berpasir bermaterial aluvium,4,2
Dataran organik bermaterial gambut,5,3
Dataran organik koralian bermaterial batuan sedimen karbonat,1,1
Dataran organik koralian berombak-bergelombang bermaterial batuan sedimen karbonat,1,1
Dataran solusional karst bermaterial batuan sedimen karbonat,3,3
Dataran solusional karst berombak-bergelombang bermaterial batuan sedimen karbonat,3,3
Dataran struktural bermaterial batuan sedimen karbonat,3,3
Dataran struktural berombak-bergelombang bermaterial batuan sedimen karbonat,3,3
Dataran struktural lipatan bermaterial batuan metamorfik,2,3
Dataran struktural lipatan bermaterial campuran batuan sedimen karbonat dan non karbonat,3,3
Dataran struktural lipatan berombak-bergelombang bermaterial batuan metamorfik,3,3
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen karbonat,3,3
Dataran struktural lipatan berombak-bergelombang bermaterial batuan sedimen non karbonat,3,3
Dataran struktural lipatan berombak-bergelombang bermaterial campuran batuan sedimen karbonat dan non karbonat,3,3
Dataran struktural plutonik berombak-bergelombang bermaterial batuan beku dalam,2,2
Dataran vulkanik bermaterial piroklastik,4,4
Dataran vulkanik berombak-bergelombang bermaterial batuan beku luar,2,2
Dataran vulkanik berombak-bergelombang bermaterial campuran batuan beku luar dan piroklastik,4,4
Dataran vulkanik berombak-bergelombang bermaterial piroklastik,4,4
Dataran vulkanik kipas bermaterial piroklastik,4,4
Lembah sungai bermaterial aluvium,5,5
Pegunungan denudasional bermaterial batuan metamorfik,2,2
Pegunungan denudasional bermaterial batuan metamorfik (ultrabasa),2,2
Pegunungan denudasional bermaterial batuan sedimen karbonat,3,2
Pegunungan denudasional bermaterial batuan sedimen non karbonat,3,3
